#timestamp,left,right,acc_x,acc_y,acc_z,roll,pitch,yaw,event
1568115619267,-190,149,-2284,1667,-16311,67,52,37,0
1568115619279,-191,149,-2279,1705,-16347,64,34,27,0
1568115619290,-189,155,-2240,1687,-16340,71,37,27,0
1568115619305,-188,158,-2216,1702,-16364,79,49,1,0
1568115619306,-190,152,-2192,1691,-16349,82,13,34,0
1568115619320,-193,144,-2219,1665,-16361,68,-6,21,0
1568115619327,-193,142,-2227,1583,-16383,68,14,16,0
1568115619335,-195,142,-2200,1593,-16415,69,-33,40,0
1568115619350,-198,139,-2238,1633,-16382,56,-66,26,0
1568115619359,-200,137,-2245,1640,-16361,56,-78,46,0
1568115619365,-204,135,-2197,1644,-16348,46,-98,65,0
1568115619380,-213,126,-2259,1589,-16332,23,-81,56,0
1568115619388,-208,130,-2342,1611,-16285,17,-74,68,0
1568115619394,-198,136,-2270,1621,-16287,-4,-45,83,0
1568115619410,-198,135,-2282,1665,-16356,3,-48,79,0
1568115619417,-202,131,-2309,1638,-16289,-2,-32,58,0
1568115619427,-202,130,-2286,1644,-16342,0,-28,75,0
1568115619440,-198,135,-2258,1673,-16374,0,-3,72,0
1568115619447,-194,141,-2278,1655,-16299,-10,1,60,0
1568115619456,-193,141,-2317,1639,-16329,-2,10,50,0
1568115619470,-192,139,-2254,1648,-16304,7,17,39,0
1568115619477,-195,137,-2291,1683,-16312,30,16,45,0
1568115619486,-199,135,-2320,1671,-16307,34,13,40,0
1568115619500,-202,130,-2287,1687,-16329,50,13,29,0
1568115619510,-205,127,-2308,1686,-16377,52,-2,37,0
1568115619515,-207,124,-2332,1642,-16351,60,9,39,0
1568115619530,-210,121,-2298,1661,-16335,56,16,35,0
1568115619538,-213,119,-2246,1696,-16367,38,-3,14,0
1568115619544,-214,120,-2339,1669,-16354,42,-3,32,0
1568115619561,-214,121,-2273,1673,-16355,39,3,15,0
1568115619568,-209,126,-2277,1681,-16374,35,10,23,0
1568115619577,-206,131,-2332,1679,-16415,27,11,14,0
1568115619591,-207,134,-2295,1702,-16304,35,1,-5,0
1568115619598,-206,133,-2281,1706,-16222,26,25,-14,0
1568115619606,-204,134,-2361,1562,-16280,44,61,-5,0
1568115619623,-201,136,-2286,1508,-16246,108,63,11,0
1568115619629,-199,137,-2258,1563,-16385,128,6,57,0
